o1	o2	o3	t1	t2	t3	v1	v2	v3	p1	p2	p3	j1	j2	ja
NODE_137846_length_389_	0.0696480833018729	0.265213700229434	-0.110774580142679	-0.420088774648982	0.0297582492364467	-0.427416523049897	0.161671117561591	-0.166708481574935	-0.237509110614701	-0.120264493148848	-0.115649848320907	-0.234317124038591	0.410885705250924	0.757713450976986	0.719200744974517
Locus14828	0.137569734371375	0.665788808440893	0.611701207208622	0.486923054494541	0.188222197546079	0.127045518899536	-0.00157693571726999	0.319168772888715	0.209343933234751	0.0363892160987069	0.358293264229177	0.406925932464218	-0.447637115718476	-0.353291876422851	-0.43090383304908
Locus19351	0.305235595362598	0.629444499566563	0.788352239245729	0.492343950692901	0.363281643704558	0.279022434909785	-0.560462982390035	-0.118435026346949	0.693249314690112	0.276712595318998	0.442407972089193	0.349571628426075	-0.868404482437888	-0.835020777486027	-0.8573445046438
Locus16236	-0.896021953087487	-0.784785130453652	-0.500230677042046	-0.55124267010025	-1.11948913236998	-1.60684282667057	-1.54335855780832	-0.780202900677468	-0.897911316888679	0.0896289332843684	-0.859572412577748	-0.0638411291615422	0.877628353285514	0.549145572522016	1.42610112843016
Locus31777	-0.388982255462852	0.413954838701938	-0.125043946738041	-0.204541653462976	-0.0268741007527189	-0.112895543596116	-0.254160241177793	-0.350488556452529	-0.178311401972925	-0.203849742816517	0.0925324821610934	-0.467182857038934	0.559894495046519	0.595920075208725	0.686990764308548
Locus3843	0.741470102629216	0.848802759441565	1.00085008243777	0.407235567741842	0.35683792266279	0.35659916677137	-0.0167791274924005	-0.170165317444854	0.518834799916413	0.465927338097154	0.286185130815602	0.703014040470254	-1.11723311282422	-0.662657006095609	-0.429355945347712
NODE_391135_length_155_	0.685320798751045	0.0339122579777301	0.50436049928879	0.553273462192186	0.171966999848451	0.374755500341042	-0.282093611072186	-0.132627574804793	0.23039142747264	0.334827961564523	0.0722156054906633	0.41394699952075	-0.805256584648091	-1.29984573952303	-0.446561038510386
Locus26955	0.0765659145569815	0.320130589140693	-0.0394171572100585	0.047300294244071	0.0463775713169957	-0.0817777810864985	0.219960104388469	0.153199224799818	-0.264332959831739	-0.246338050783557	-0.0120076705134025	-0.315284414843076	0.674896005948294	0.715079509639091	0.520817775067254
Locus33021	-0.314888209456698	-0.54464732882716	-0.556813678346997	-0.622071489699061	-0.570595988437609	-0.747299613823076	-1.44698754835076	-0.464067278433854	-0.785479108333347	0.303845287676688	-0.724547333070395	-0.239653339745233	0.930760477290961	0.690609384445048	0.657769197348556
NODE_17281_length_279_	-0.493302002856708	-0.986157073327803	-0.752769125574079	-0.523234977788608	0.205049864110579	-0.747944039940668	-0.733977993655296	-0.938760046589378	-0.733672331010135	0.18692643296348	-0.634586568851744	-0.492830886310935	0.606666126857377	0.950965375296025	0.562582869634489
Locus27908	-0.417064492658991	-0.309884310563144	-0.674578972631214	-0.133723537740445	-0.307547994357331	-0.305453150932531	-0.578258475139392	-0.418583323927004	-0.919936218504541	-0.034664500995017	-0.567624032919299	-0.0892988511937925	0.25200100079614	0.529522501951051	0.636061071495175
Locus24738	-0.100598982476683	-0.0668358912895665	0.0734542620376401	-0.22487578448717	-0.215815908919468	-0.413667165650634	-0.265757648067362	-0.453982612884701	-0.259169428961673	0.129207604073812	-0.323323768715642	0.0594435555118325	0.351772624239355	0.506977285996291	0.489431908492483
Locus38085	0.6364526288121	0.16816427238161	0.757218502427057	0.218325730153272	0.058792551015216	0.442749947784725	0.41092100099717	0.91420388957106	0.0620710829912735	0.106304835214407	-0.282652070782872	0.537879331510617	-0.482998675108122	-1.0036576161272	-0.997845789828322
NODE_29030_length_215_	0.0187662508979102	0.0684174672728231	-0.199458117641883	-0.555843582975391	-0.273057369881114	-0.202489815100602	-0.00365055084416628	-0.424604785254379	-0.44506024671236	-0.386549446272239	-0.260364317503306	-0.0862143555795555	0.215531962416267	0.614208184230715	0.617810208791324
Locus22866	-0.602874616825638	-0.344883494059381	-0.078135788032223	-0.0313305710692084	0.0307592212421525	-0.765818202377395	0.259286408286208	-0.14690547112799	-0.271794594380675	-0.138361510614462	-0.197904662362434	-0.621135164963993	0.633318262764748	0.654254054086898	0.879696326816175
